"ID","Date","Price (GBP)","Market Cap (GBP)","Total Volume","% 24hr Change","% 7d Change","Class"
"1","2013-04-28 00:00:00","86.889","963625076.6999998","0","0.00","0.00","stay the same"
"2","2013-04-29 00:00:00","93.0697","1032599014.53","0","7.11","0.00","increase"
"3","2013-04-30 00:00:00","89.8481","997199354.0045329","0","-3.46","0.00","decrease"
"4","2013-05-01 00:00:00","74.9767","832402569.9049999","0","-16.55","0.00","decrease"
"5","2013-05-02 00:00:00","68.2902","758413888.3198724","0","-8.92","0.00","decrease"
"6","2013-05-03 00:00:00","63.208","702202955.1999999","0","-7.44","0.00","decrease"
"7","2013-05-04 00:00:00","72.6016","806841546.4031496","0","14.86","0.00","increase"
"8","2013-05-05 00:00:00","74.4895","828114669.4000001","0","2.60","-14.27","increase"
"9","2013-05-06 00:00:00","72.0995","801845576.9648273","0","-3.21","-22.53","decrease"
"10","2013-05-07 00:00:00","70.5027","784386601.6875","0","-2.21","-21.53","decrease"
"11","2013-05-08 00:00:00","73.0407","812924730.825","0","3.60","-2.58","increase"
"12","2013-05-09 00:00:00","72.6543","808925710.7700001","0","-0.53","6.39","decrease"
"13","2013-05-10 00:00:00","76.0401","846946039.815","0","4.66","20.30","increase"
"14","2013-05-11 00:00:00","75.2172","838124574.703605","0","-1.08","3.60","decrease"
"15","2013-05-12 00:00:00","74.7494","833233430.6490335","0","-0.62","0.35","decrease"
"16","2013-05-13 00:00:00","76.8277","856736413.7799999","0","2.78","6.56","increase"
"17","2013-05-14 00:00:00","72.7306","811329844.2326009","0","-5.33","3.16","decrease"
"18","2013-05-15 00:00:00","74.9593","836459585.0676557","0","3.06","2.63","increase"
"19","2013-05-16 00:00:00","77.4419","864451016.5572537","0","3.31","6.59","increase"
"20","2013-05-17 00:00:00","80.9382","903802480.3362501","0","4.51","6.44","increase"
"21","2013-05-18 00:00:00","81.1919","906923671.9875","0","0.31","7.94","increase"
"22","2013-05-19 00:00:00","80.6863","901602836.5201168","0","-0.62","7.94","decrease"
"23","2013-05-20 00:00:00","80.321","897783961.45","0","-0.45","4.55","decrease"
"24","2013-05-21 00:00:00","80.613","901339999.3029617","0","0.36","10.84","increase"
"25","2013-05-22 00:00:00","81.6702","913505688.06","0","1.31","8.95","increase"
"26","2013-05-23 00:00:00","83.8781","938543515.5210166","0","2.70","8.31","increase"
"27","2013-05-24 00:00:00","88.156","986771981.7653152","0","5.10","8.92","increase"
"28","2013-05-25 00:00:00","87.2693","977211076.8113252","0","-1.01","7.49","decrease"
"29","2013-05-26 00:00:00","88.2411","988463566.035","0","1.11","9.36","increase"
"30","2013-05-27 00:00:00","85.7598","961050047.072441","0","-2.81","6.77","decrease"
"31","2013-05-28 00:00:00","85.387","957201078.1491497","0","-0.43","5.92","decrease"
"32","2013-05-29 00:00:00","87.8855","985598531.3287859","0","2.93","7.61","increase"
"33","2013-05-30 00:00:00","85.2835","956793454.4292352","0","-2.96","1.68","decrease"
"34","2013-05-31 00:00:00","84.6456","950022008.0706985","0","-0.75","-3.98","decrease"
"35","2013-06-01 00:00:00","85.042","954902601.2","0","0.47","-2.55","increase"
"36","2013-06-02 00:00:00","80.6252","905743496.8000001","0","-5.19","-8.63","decrease"
"37","2013-06-03 00:00:00","79.4632","893118690.08","0","-1.44","-7.34","decrease"
"38","2013-06-05 00:00:00","79.6307","895443240.2603929","0","0.21","-6.74","increase"
"39","2013-06-06 00:00:00","77.2796","869364587.9060289","0","-2.95","-12.07","decrease"
"40","2013-06-07 00:00:00","71.355","803034521.625","0","-7.67","-16.33","decrease"
"41","2013-06-08 00:00:00","69.3337","780560527.7850521","0","-2.83","-18.09","decrease"
"42","2013-06-09 00:00:00","64.5585","727094948.3906099","0","-6.89","-24.09","decrease"
"43","2013-06-10 00:00:00","68.4097","770748146.8444778","0","5.97","-15.15","increase"
"44","2013-06-11 00:00:00","70.0598","789638751.480251","0","2.41","-11.83","increase"
"45","2013-06-12 00:00:00","69.6256","785065193.1203233","0","-0.62","-12.56","decrease"
"46","2013-06-13 00:00:00","66.3122","748043061.125","0","-4.76","-14.19","decrease"
"47","2013-06-14 00:00:00","63.6605","718419883.3507673","0","-4.00","-10.78","decrease"
"48","2013-06-15 00:00:00","63.6411","718493699.6069777","0","-0.03","-8.21","decrease"
"49","2013-06-16 00:00:00","63.6223","718550256.2","0","-0.03","-1.45","decrease"
"50","2013-06-17 00:00:00","64.8981","733260917.565","0","2.01","-5.13","increase"
"51","2013-06-18 00:00:00","68.2985","771930136.55","0","5.24","-2.51","increase"
"52","2013-06-19 00:00:00","69.1932","782287940.5446982","0","1.31","-0.62","increase"
"53","2013-06-20 00:00:00","71.72","811102996","0","3.65","8.16","increase"
"54","2013-06-21 00:00:00","70.6544","799318526.1207393","0","-1.49","10.99","decrease"
"55","2013-06-22 00:00:00","70.0968","793303009.9607503","0","-0.79","10.14","decrease"
"56","2013-06-23 00:00:00","69.968","792161953.3630955","0","-0.18","9.97","decrease"
"57","2013-06-24 00:00:00","66.2536","750371710.2000002","0","-5.31","2.09","decrease"
"58","2013-06-25 00:00:00","67.004","759126843.4798669","0","1.13","-1.90","increase"
"59","2013-06-26 00:00:00","67.4321","764250134.4437898","0","0.64","-2.55","increase"
"60","2013-06-27 00:00:00","66.3704","752489343.5004855","0","-1.57","-7.46","decrease"
"61","2013-06-28 00:00:00","62.014","703359687.3","0","-6.56","-12.23","decrease"
"62","2013-06-29 00:00:00","62.3901","707890552.7403265","0","0.61","-10.99","increase"
"63","2013-06-30 00:00:00","64.1033","727594891.1482798","0","2.75","-8.38","increase"
"64","2013-07-01 00:00:00","55.6379","631726626.075","0","-13.21","-16.02","decrease"
"65","2013-07-02 00:00:00","57.5948","654180456.7582698","0","3.52","-14.04","increase"
"66","2013-07-03 00:00:00","50.6999","576062403.556645","0","-11.97","-24.81","decrease"
"67","2013-07-04 00:00:00","50.8821","578369198.385","0","0.36","-23.34","increase"
"68","2013-07-05 00:00:00","43.9022","499217403.975","0","-13.72","-29.21","decrease"
"69","2013-07-06 00:00:00","44.8207","509862354.6556062","0","2.09","-28.16","increase"
"70","2013-07-07 00:00:00","48.6863","554063482.8379774","0","8.62","-24.05","increase"
"71","2013-07-08 00:00:00","50.0846","570210666.8346236","0","2.87","-9.98","increase"
"72","2013-07-09 00:00:00","49.7008","566080929.3769281","0","-0.77","-13.71","decrease"
"73","2013-07-10 00:00:00","56.8284","647532624.51","0","14.34","12.09","increase"
"74","2013-07-11 00:00:00","60.6378","691220893.6382134","0","6.70","19.17","increase"
"75","2013-07-12 00:00:00","58.3628","665559157.5233465","0","-3.75","32.94","decrease"
"76","2013-07-13 00:00:00","60.4682","689778897.8188008","0","3.61","34.91","increase"
"77","2013-07-14 00:00:00","59.8256","682702825.68","0","-1.06","22.88","decrease"
"78","2013-07-15 00:00:00","61.6706","704011526.655","0","3.08","23.13","increase"
"79","2013-07-16 00:00:00","61.4657","701939830.9425607","0","-0.33","23.67","decrease"
"80","2013-07-17 00:00:00","59.9149","684463324.0248728","0","-2.52","5.43","decrease"
"81","2013-07-18 00:00:00","56.285","643253122.5","0","-6.06","-7.18","decrease"
"82","2013-07-19 00:00:00","56.4871","645793007.1123139","0","0.36","-3.21","increase"
"83","2013-07-20 00:00:00","56.2901","643791280.7680874","0","-0.35","-6.91","decrease"
"84","2013-07-21 00:00:00","55.9929","640639965.705","0","-0.53","-6.41","decrease"
"85","2013-07-22 00:00:00","56.401","645601096.8122394","0","0.73","-8.54","increase"
