ID,Date,Price (GBP),Market Cap (GBP),Total Volume,% 24hr Change,% 7d Change,Class
1,2023-04-03 20:00:18,22641.20813083498,438671596830.4708,14054144703.886442,0.0,0.0,stay the same
2,2023-04-03 21:00:31,22249.584926706484,432834392325.9771,14745920452.960745,-1.73,0.0,decrease
3,2023-04-03 22:00:06,22416.630146029645,430441843730.8827,15563458369.711176,0.75,0.0,increase
4,2023-04-03 23:00:17,22412.09885829857,434440168888.1248,15711280723.769133,-0.02,0.0,decrease
5,2023-04-04 00:00:10,22387.718905925933,434125703898.3071,15865130514.493237,-0.11,0.0,decrease
6,2023-04-04 01:00:42,22382.16090220383,433311565339.6433,16063636764.365482,-0.02,0.0,decrease
7,2023-04-04 02:01:10,22456.670514996087,434235048893.44885,15713688242.727783,0.33,0.0,increase
8,2023-04-04 03:00:03,22523.07968216449,435654613616.84247,15647448892.29472,0.3,-0.52,increase
9,2023-04-04 04:01:07,22500.46498690245,435295785949.48334,15523483245.747568,-0.1,1.13,decrease
10,2023-04-04 05:01:38,22431.46391932561,433604320296.589,15128779829.538736,-0.31,0.07,decrease
11,2023-04-04 06:00:24,22531.43903657348,435820002999.005,15454138205.875916,0.45,0.53,increase
12,2023-04-04 07:00:48,22650.94711593609,437817682207.7459,15709824767.890064,0.53,1.18,increase
13,2023-04-04 08:00:51,22461.911084319618,434621414935.1223,15461688598.181686,-0.83,0.36,decrease
14,2023-04-04 09:00:46,22525.54387221701,435320244594.0617,14535369566.43994,0.28,0.31,increase
15,2023-04-04 10:00:32,22528.41934653624,434974749009.7476,14445304636.479664,0.01,0.02,increase
16,2023-04-04 11:01:03,22585.150148959823,436773144241.84753,14544313961.640762,0.25,0.38,increase
17,2023-04-04 12:00:01,22669.569137391485,437786794996.5018,14863449535.920511,0.37,1.06,increase
18,2023-04-04 13:00:49,22676.406853716293,438539913753.7498,14733741646.3509,0.03,0.64,increase
19,2023-04-04 14:00:32,22527.47206532348,437960690869.34174,14829948986.915728,-0.66,-0.55,decrease
20,2023-04-04 15:01:09,22537.82518374645,436219755062.0241,14686290141.672913,0.05,0.34,increase
21,2023-04-04 16:00:02,22433.85408778838,434487598799.084,14755917074.177536,-0.46,-0.41,decrease
22,2023-04-04 17:00:45,22501.0049667688,435161943394.8996,14829181876.032784,0.3,-0.12,increase
23,2023-04-04 18:00:55,22578.265647510158,436688273405.5732,14680624341.365808,0.34,-0.03,increase
24,2023-04-04 19:00:28,22577.210287342998,436278386076.0656,14327103455.501894,-0.0,-0.41,decrease
25,2023-04-04 20:00:22,22559.063068759675,436228956459.778,14056063561.637886,-0.08,-0.52,decrease
26,2023-04-04 21:00:08,22645.57775563276,437408280787.3653,13474150854.856,0.38,0.52,increase
27,2023-04-04 22:01:12,22575.384093280165,436483985411.0322,12525380717.812258,-0.31,0.17,decrease
28,2023-04-04 23:00:50,22575.117145274056,436636943531.00665,12046797887.521978,-0.0,0.63,decrease
29,2023-04-05 00:00:06,22534.854603948083,435396423005.9261,11894436148.30526,-0.18,0.15,decrease
30,2023-04-05 01:00:18,22776.781577486472,440352742359.56696,12025297908.3702,1.07,0.88,increase
31,2023-04-05 02:00:44,22905.237328100862,442861454032.9346,12594140601.4983,0.56,1.45,increase
32,2023-04-05 03:00:05,22859.157819451524,442775316563.1146,12702292216.46852,-0.2,1.33,decrease
33,2023-04-05 04:00:06,22825.40679778793,441386440904.66486,12904802642.702106,-0.15,0.79,decrease
34,2023-04-05 05:00:04,22843.08787096899,442025542964.1907,12943450684.07701,0.08,1.19,increase
35,2023-04-05 06:00:56,22889.17252766101,442728225627.89233,13060449882.998987,0.2,1.39,increase
36,2023-04-05 07:00:24,22867.756613528876,442038977687.4252,12918858925.9465,-0.09,1.48,decrease
37,2023-04-05 08:00:41,22826.476205925843,441501790372.87537,12643465996.87347,-0.18,0.22,decrease
38,2023-04-05 09:00:53,22903.65293745177,443059317951.9277,12773586239.058245,0.34,-0.01,increase
39,2023-04-05 10:00:10,22878.578664730696,442592638246.4544,12583036318.629885,-0.11,0.08,decrease
40,2023-04-05 11:01:08,22865.40112892486,442183018256.84045,12142309727.635317,-0.06,0.18,decrease
41,2023-04-05 12:01:02,22869.8304057089,442376979116.0436,11404866736.421072,0.02,0.12,increase
