"ID","Date","Price (GBP)","Market Cap (GBP)","Total Volume","% 24hr Change","% 7d Change","Class"
"1","2023-05-12 19:00:43","21148.935155594027","409768094478.0409","15107900820.105124","0.00","0.00","stay the same"
"2","2023-05-12 20:00:14","21261.90842948634","406943598793.98584","16173973484.092716","0.53","0.00","increase"
"3","2023-05-12 21:00:24","21262.735145419607","411127641132.6551","16547652887.643778","0.00","0.00","increase"
"4","2023-05-12 22:00:11","21503.989449151573","416078353146.2977","17076268373.357086","1.13","0.00","increase"
"5","2023-05-12 23:01:09","21456.69566148917","415852603522.05237","14248741021.755968","-0.22","0.00","decrease"
"6","2023-05-13 00:00:39","21525.721468406315","417033879468.2306","15782804948.189089","0.32","0.00","increase"
"7","2023-05-13 01:00:42","21516.345080551684","416264672852.53046","17313312280.37134","-0.04","0.00","decrease"
"8","2023-05-13 02:00:08","21587.957088411753","418326097847.933","12967688456.361326","0.33","2.08","increase"
"9","2023-05-13 03:00:37","21503.8793296683","417529037317.5434","17229878606.094883","-0.39","1.14","decrease"
"10","2023-05-13 04:00:03","21558.22138740092","417630707756.5763","12097526685.975954","0.25","1.39","increase"
"11","2023-05-13 05:01:26","21540.687026989628","417287705490.6348","15784840486.948692","-0.08","0.17","decrease"
"12","2023-05-13 06:00:45","21514.2418388727","416724094055.30194","15075816166.352077","-0.12","0.27","decrease"
"13","2023-05-13 07:00:06","21496.52590014547","416259658986.8224","14453088888.181292","-0.08","-0.14","decrease"
"14","2023-05-13 08:00:27","21530.587113306385","416999041290.603","12005853628.73065","0.16","0.07","increase"
"15","2023-05-13 09:00:50","21549.302375979965","417476144342.54126","12167252487.021427","0.09","-0.18","increase"
"16","2023-05-13 10:00:02","21561.338792086397","417595556597.08575","11864002303.303644","0.06","0.27","increase"
"17","2023-05-13 11:00:20","21564.901915207112","417348716982.5185","13334161626.522135","0.02","0.03","increase"
"18","2023-05-13 12:00:02","21549.02843692002","417555979851.87006","12634819574.8705","-0.07","0.04","decrease"
"19","2023-05-13 13:00:10","21570.24484631297","418105262988.3752","5607070521.398912","0.10","0.26","increase"
"20","2023-05-13 14:00:27","21545.523235921537","417372955338.7775","12525158234.550985","-0.11","0.23","decrease"
"21","2023-05-13 15:00:20","21561.153622652528","417906807649.61426","2989857310.457876","0.07","0.14","increase"
"22","2023-05-13 16:00:40","21542.340758948554","417168427408.67334","9893163880.55427","-0.09","-0.03","decrease"
"23","2023-05-13 17:00:07","21551.54348839795","417471315826.7561","4838009453.066107","0.04","-0.05","increase"
"24","2023-05-13 18:00:45","21560.330920574634","417757126956.6909","9722750250.537153","0.04","-0.02","increase"
"25","2023-05-13 19:00:45","21672.464091380698","419934220108.1968","6677677750.343277","0.52","0.57","increase"
"26","2023-05-13 20:01:34","21573.876364418764","417305730688.5822","10119021005.531004","-0.45","0.02","decrease"
"27","2023-05-13 21:00:45","21573.350624167644","417911979345.32385","7615376028.552849","-0.00","0.13","decrease"
"28","2023-05-13 22:01:11","21595.655939485794","418357941609.7506","5354028650.1124","0.10","0.16","increase"
"29","2023-05-13 23:01:07","21602.769905669633","417822642237.19385","8092626603.495636","0.03","0.28","increase"
"30","2023-05-14 00:00:04","21506.09610350483","417693929348.32294","7786789998.418695","-0.45","-0.21","decrease"
"31","2023-05-14 01:00:45","21460.924922738715","415588053046.4056","7893551356.909183","-0.21","-0.46","decrease"
"32","2023-05-14 02:01:12","21451.554471729763","415132347353.82983","7123430834.280562","-0.04","-1.02","decrease"
"33","2023-05-14 03:01:02","21519.605514452374","416612763323.13495","2179284569.777377","0.32","-0.25","increase"
"34","2023-05-14 04:00:46","21544.871662289497","417435124039.9205","2165890835.7941127","0.12","-0.13","increase"
"35","2023-05-14 05:00:29","21532.151755048428","417429857790.6123","7617257080.974465","-0.06","-0.29","decrease"
"36","2023-05-14 06:00:44","21533.66272823946","417395477878.80786","6717861769.629565","0.01","-0.32","increase"
"37","2023-05-14 07:01:04","21575.230222082602","417938221105.23584","6044844813.363183","0.19","0.32","increase"
"38","2023-05-14 08:00:26","21555.47980159398","417514026192.08026","6936010764.360433","-0.09","0.44","decrease"
"39","2023-05-14 09:00:32","21556.86189733647","417639335541.5569","4906167812.473334","0.01","0.49","increase"
"40","2023-05-14 10:01:14","21555.976563234613","417591002125.67065","4054877383.424225","-0.00","0.17","decrease"
"41","2023-05-14 11:00:33","21549.79628053028","417480654942.9697","6268727469.604094","-0.03","0.02","decrease"
"42","2023-05-14 12:00:28","21517.73879068215","416835579187.42175","7055076778.009745","-0.15","-0.07","decrease"
"43","2023-05-14 13:00:38","21538.356830007797","417030370456.54724","6956024284.248595","0.10","0.02","increase"
"44","2023-05-14 14:00:32","21578.561825360666","418005784088.9815","6815235716.271252","0.19","0.02","increase"
"45","2023-05-14 15:00:31","21607.912607056824","418077529895.1791","7027181478.237705","0.14","0.24","increase"
"46","2023-05-14 16:00:30","21762.402692320073","421691277532.6912","4484717260.967541","0.71","0.95","increase"
"47","2023-05-14 17:00:34","21691.852086845705","420261644208.64606","4183571802.4210067","-0.32","0.63","decrease"
"48","2023-05-14 18:00:58","21627.19865549092","419126995652.3408","8109588406.244209","-0.30","0.36","decrease"
"49","2023-05-14 19:00:32","21604.209675130885","418663287792.0766","4897614591.983501","-0.11","0.40","decrease"
"50","2023-05-14 20:00:50","21580.008699842892","418295111461.4473","7893638253.220331","-0.11","0.19","decrease"
"51","2023-05-14 21:00:51","21627.14011427398","418611116560.4328","5009848818.310344","0.22","0.23","increase"
"52","2023-05-14 22:01:33","21616.305210907118","418815229740.853","7891830893.412376","-0.05","0.04","decrease"
"53","2023-05-14 23:00:36","21636.54085497009","419119290339.93066","5841848450.853004","0.09","-0.58","increase"
"54","2023-05-15 00:01:25","21631.030515241262","418829264090.5528","6926218914.928644","-0.03","-0.28","decrease"
"55","2023-05-15 01:01:01","21507.183238992642","416592859264.73395","6194972682.48071","-0.57","-0.55","decrease"
"56","2023-05-15 02:01:15","21841.752939001093","421516442395.4758","8427782921.525738","1.56","1.10","increase"
"57","2023-05-15 03:00:10","21832.49484634728","422658550078.9765","6786063905.444833","-0.04","1.17","decrease"
"58","2023-05-15 04:00:35","21859.427815345272","423547799310.1445","6437775702.296901","0.12","1.07","increase"
"59","2023-05-15 05:00:38","21874.508378238937","423323564233.10297","9108200561.325052","0.07","1.19","increase"
"60","2023-05-15 06:00:45","21919.612943508557","424743985051.3737","4854946685.008406","0.21","1.31","increase"
"61","2023-05-15 07:00:23","22021.759360882425","426737547206.994","9486371599.01774","0.47","1.81","increase"
"62","2023-05-15 08:00:30","21970.615922077683","425585557382.16064","10608927960.91487","-0.23","2.15","decrease"
"63","2023-05-15 09:01:30","21972.840359088408","425799097732.5565","5582478130.427183","0.01","0.60","increase"
"64","2023-05-15 10:00:41","21932.060424887793","424484609101.5607","8683451989.47355","-0.19","0.46","decrease"
"65","2023-05-15 11:00:32","21916.012371995945","424607306241.28345","10084743782.780823","-0.07","0.26","decrease"
"66","2023-05-15 12:00:31","21874.655671677097","424411520619.90533","11116249405.886086","-0.19","0.00","decrease"
"67","2023-05-15 13:00:07","21888.980950405814","424164911134.31085","7875681565.636097","0.07","-0.14","increase"
"68","2023-05-15 14:00:32","21899.881886527633","424813798183.51874","10082529216.44658","0.05","-0.55","increase"
"69","2023-05-15 15:00:36","21939.97079193112","423593460879.5413","11596063425.391644","0.18","-0.14","increase"
"70","2023-05-15 16:01:37","21910.880394454085","424423395964.4045","8439864239.84104","-0.13","-0.28","decrease"
"71","2023-05-15 17:00:08","21904.437934651687","424145934952.64514","8547366103.418838","-0.03","-0.13","decrease"
"72","2023-05-15 18:00:28","21945.544000489244","424646858324.0311","11374076907.60486","0.19","0.13","increase"
"73","2023-05-15 19:00:14","21910.240322335918","424458040240.4162","11398850811.717375","-0.16","0.16","decrease"
"74","2023-05-15 20:00:02","21876.11492681498","423836447905.27966","11817162486.179375","-0.16","-0.06","decrease"
"75","2023-05-15 21:00:38","21837.10252291904","423132136877.15894","11390278971.516497","-0.18","-0.29","decrease"
"76","2023-05-15 22:00:55","21857.118767344447","423185220021.822","10872055107.225857","0.09","-0.38","increase"
"77","2023-05-15 23:01:32","21795.708303882475","423029008177.40485","9865056055.45011","-0.28","-0.53","decrease"
"78","2023-05-16 00:01:06","21734.58609955758","421253552418.5422","11630523878.529623","-0.28","-0.78","decrease"
"79","2023-05-16 01:00:17","21723.568850773958","420851880122.18","10169379747.152084","-0.05","-1.01","decrease"
"80","2023-05-16 02:01:29","21545.28856057838","417475913238.12885","7877421016.5460005","-0.82","-1.67","decrease"
"81","2023-05-16 03:01:37","21622.05693897997","418979739911.3195","7579161567.80177","0.36","-1.16","increase"
"82","2023-05-16 04:01:26","21651.35779894679","419391831750.6197","7655383477.260901","0.14","-0.85","increase"
"83","2023-05-16 05:00:20","21646.636651247052","419609794945.4364","8763408363.336622","-0.02","-0.96","decrease"
"84","2023-05-16 06:01:34","21638.17506750864","419070060856.3364","7069419903.383216","-0.04","-0.72","decrease"
"85","2023-05-16 07:00:50","21697.706257810576","419883555661.4787","10284078900.087776","0.28","-0.17","increase"
"86","2023-05-16 08:00:04","21747.3762911431","421770860753.84357","9917943822.423754","0.23","0.11","increase"
"87","2023-05-16 09:00:29","21713.228100896773","420462656423.1211","10064388978.526932","-0.16","0.78","decrease"
"88","2023-05-16 10:01:30","21635.816307128276","419333350303.3371","9504987643.50187","-0.36","0.06","decrease"
"89","2023-05-16 11:00:27","21556.54989944387","417923529340.43475","6175567822.753597","-0.37","-0.44","decrease"
"90","2023-05-16 12:00:45","21622.49425196121","419071799555.8404","10644389476.245687","0.31","-0.11","increase"
"91","2023-05-16 13:00:19","21640.83219959819","419294853898.38544","11008742206.997091","0.08","0.01","increase"
"92","2023-05-16 14:01:42","21608.49020912529","419119393783.2413","10369791021.126678","-0.15","-0.41","decrease"
"93","2023-05-16 15:00:43","21591.1142817857","418311123648.64764","10528310588.434872","-0.08","-0.72","decrease"
"94","2023-05-16 16:00:00","21641.118554839526","419188364273.59705","9301392391.363476","0.23","-0.33","increase"
"95","2023-05-16 17:01:31","21645.78082795865","419391683258.7192","5354077381.007336","0.02","0.05","increase"
"96","2023-05-16 18:00:38","21674.70079059914","419799993704.04486","10700241606.52267","0.13","0.55","increase"
"97","2023-05-16 19:00:30","21650.975433425334","419561082091.85547","9415249435.160963","-0.11","0.13","decrease"
"98","2023-05-16 20:00:23","21613.91422469788","418838954651.2319","4842905871.934232","-0.17","-0.12","decrease"
"99","2023-05-16 21:00:06","21599.34253428905","418609386294.86633","7579945649.582367","-0.07","-0.04","decrease"
"100","2023-05-16 22:00:37","21650.672160089256","419526112977.0437","9090181791.723444","0.24","0.28","increase"
"101","2023-05-16 23:01:20","21618.886102584947","418838864480.43304","5887127914.752116","-0.15","-0.10","decrease"
"102","2023-05-17 00:00:42","21644.571729907817","419720097635.0851","10354304907.483112","0.12","-0.01","increase"
"103","2023-05-17 01:00:57","21722.25844697756","420275030026.6978","10106535903.483631","0.36","0.22","increase"
"104","2023-05-17 02:00:29","21748.80333517461","422241620459.3506","10048518867.185173","0.12","0.45","increase"
"105","2023-05-17 03:00:30","21665.561495813166","420518022725.6227","8860933287.664541","-0.38","0.24","decrease"
"106","2023-05-17 04:00:50","21691.232327537546","420748188999.38385","9896820207.411922","0.12","0.43","increase"
"107","2023-05-17 05:00:16","21702.510046905645","420264615464.4679","9754810578.163828","0.05","0.24","increase"
"108","2023-05-17 06:00:35","21652.14771478325","419671287168.6697","9538515314.25132","-0.23","0.15","decrease"
"109","2023-05-17 07:01:13","21671.967130915415","420087947823.2036","10002119511.11575","0.09","0.13","increase"
"110","2023-05-17 08:01:31","21612.299992281503","419635343627.4467","8938243814.791788","-0.28","-0.51","decrease"
"111","2023-05-17 09:01:38","21579.694854405843","417883124875.90594","8737876563.671822","-0.15","-0.78","decrease"
"112","2023-05-17 10:01:18","21601.09721241092","418712804593.9827","10084975329.40376","0.10","-0.30","increase"
"113","2023-05-17 11:01:41","21589.303245901145","418374891148.86487","8533094661.760613","-0.05","-0.47","decrease"
"114","2023-05-17 12:00:30","21389.310843728006","414427741789.64874","9076790131.56494","-0.93","-1.44","decrease"
"115","2023-05-17 13:00:44","21428.61334180274","415073785663.3711","4256716574.6618814","0.18","-1.03","increase"
"116","2023-05-17 14:00:06","21419.72491472994","415582279326.9825","7340367761.657186","-0.04","-1.16","decrease"
"117","2023-05-17 15:00:33","21475.66524174074","415887915653.5837","8999384840.576492","0.26","-0.63","increase"
"118","2023-05-17 16:00:35","21484.69173644297","415735524200.17346","10298990619.475546","0.04","-0.44","increase"
"119","2023-05-17 17:01:26","21517.855573950084","416403445703.79895","9231428241.150866","0.15","-0.39","increase"
"120","2023-05-17 18:00:22","21671.387846433376","417971066328.1362","5877765683.215207","0.71","0.38","increase"
"121","2023-05-17 19:00:44","21718.15792913571","421309177892.5593","11058803006.711205","0.22","1.54","increase"
"122","2023-05-17 20:00:35","21922.485689591216","425058949036.77997","11679108655.429134","0.94","2.30","increase"
"123","2023-05-17 21:01:29","21897.878335640962","424713268773.26917","6596811664.943927","-0.11","2.23","decrease"
"124","2023-05-17 22:00:04","21914.25622895011","424980775667.8646","12392173621.457596","0.07","2.04","increase"
"125","2023-05-17 23:01:08","21890.86459322226","424176188084.24976","6820931857.018188","-0.11","1.89","decrease"
"126","2023-05-18 00:01:01","21940.818849155305","425256509998.5335","10077748387.35612","0.23","1.97","increase"
"127","2023-05-18 01:00:46","21929.17674441865","424919500771.26385","12605284554.066315","-0.05","1.19","decrease"
"128","2023-05-18 02:00:30","21879.321774324155","424618952925.7159","7497655946.518226","-0.23","0.74","decrease"
"129","2023-05-18 03:00:49","21899.174757103","424540514451.24725","11544767027.732584","0.09","-0.11","increase"
"130","2023-05-18 04:00:49","21925.872837838873","424910680084.8512","12473691365.52636","0.12","0.13","increase"
"131","2023-05-18 05:00:42","21903.978037071018","424466279443.2989","12401399918.384142","-0.10","-0.05","decrease"
"132","2023-05-18 06:01:35","21873.05719782529","423878046737.6417","9761453192.425627","-0.14","-0.08","decrease"
"133","2023-05-18 07:00:18","21853.049372142483","423482877590.49146","11172816948.182058","-0.09","-0.40","decrease"
"134","2023-05-18 08:00:44","21989.923297387377","425026438310.35516","12436352695.157854","0.63","0.28","increase"
"135","2023-05-18 09:00:21","22044.983716669023","426802771639.8545","9332141334.721941","0.25","0.76","increase"
"136","2023-05-18 10:00:15","22038.061993126877","426628092345.65857","12490472211.93205","-0.03","0.63","decrease"
"137","2023-05-18 11:00:20","22009.04652590702","426729564505.7231","8408063458.812204","-0.13","0.38","decrease"
"138","2023-05-18 12:01:01","21993.90197323274","426105780762.31165","11932204429.523983","-0.07","0.41","decrease"
"139","2023-05-18 13:01:16","21962.612291471058","425521469626.58624","8995426989.246311","-0.14","0.41","decrease"
"140","2023-05-18 14:00:27","21919.888514242208","424713010556.20996","10097817372.326376","-0.19","0.31","decrease"
"141","2023-05-18 15:00:25","21971.970169890912","425601331607.26996","12384652502.697319","0.24","-0.08","increase"
"142","2023-05-18 16:00:24","21862.930596375594","423433679061.8324","12220331169.381426","-0.50","-0.83","decrease"
"143","2023-05-18 17:00:03","21850.298343178256","423500516587.0336","9179571465.803335","-0.06","-0.85","decrease"
"144","2023-05-18 18:00:30","21484.243708335707","417101237215.93097","10920291157.830992","-1.68","-2.38","decrease"
"145","2023-05-18 19:00:43","21459.82795235715","415598582679.86786","13455135151.671703","-0.11","-2.43","decrease"
"146","2023-05-18 20:00:08","21562.505651379095","416851487573.63214","8823003757.191233","0.48","-1.82","increase"
"147","2023-05-18 21:00:05","21546.608085273194","417600910559.33203","8051361075.067779","-0.07","-1.70","decrease"
"148","2023-05-18 22:00:00","21726.662369503596","421245091488.70404","12682737905.779915","0.84","-1.12","increase"
"149","2023-05-18 23:00:18","21661.25032964759","419391725186.28125","13048866035.341183","-0.30","-0.92","decrease"
"150","2023-05-19 00:00:34","21626.72259413439","419396790539.03107","10151104378.398403","-0.16","-1.02","decrease"
"151","2023-05-19 01:00:12","21640.2668698265","419463266714.0125","11724501174.73826","0.06","0.73","increase"
"152","2023-05-19 02:00:21","21610.32953507655","418192303519.6396","11861911388.351164","-0.14","0.70","decrease"
"153","2023-05-19 03:28:10","21629.6024807346","419085869043.24414","12216356102.362274","0.09","0.31","increase"
"154","2023-05-19 04:00:37","21634.068245759012","419216718444.4533","7507873575.642309","0.02","0.41","increase"
"155","2023-05-19 05:00:27","21669.969230345087","419641168809.2045","12719054888.159603","0.17","-0.26","increase"
"156","2023-05-19 06:00:00","21663.692891141876","419812974931.1582","5970197267.752831","-0.03","0.01","decrease"
"157","2023-05-19 07:00:38","21696.752842709124","420299723657.7226","12544097090.917381","0.15","0.32","increase"
"158","2023-05-19 08:00:33","21647.09432380511","419558388387.9404","7068401898.628956","-0.23","0.03","decrease"
"159","2023-05-19 09:01:12","21677.793088277693","420314558721.2438","12258296781.897257","0.14","0.31","increase"
"160","2023-05-19 10:00:36","21587.234470642717","418456538474.3477","10845716010.86497","-0.42","-0.20","decrease"
"161","2023-05-19 11:00:07","21583.008108982787","418430966611.9815","12352675468.679342","-0.02","-0.24","decrease"
"162","2023-05-19 12:00:16","21590.338604528002","418299309933.7509","7271855205.814688","0.03","-0.37","increase"
"163","2023-05-19 13:01:20","21625.172447980003","419051521371.7415","4269081323.84561","0.16","-0.18","increase"
"164","2023-05-19 14:00:56","21623.190754297124","419215163876.7511","11673783212.592213","-0.01","-0.34","decrease"
"165","2023-05-19 15:00:34","21574.698266013045","418178865113.5644","10374669978.474882","-0.22","-0.33","decrease"
"166","2023-05-19 16:00:30","21582.386033002924","419091430339.09735","8911755014.646149","0.04","-0.44","increase"
"167","2023-05-19 17:01:24","21534.82442749756","417471856725.58844","10715454561.596529","-0.22","-0.24","decrease"
"168","2023-05-19 18:00:54","21603.499972043606","419045000057.2318","10204908262.406918","0.32","0.09","increase"
"169","2023-05-19 19:00:20","21607.141347263812","418600639727.67865","6086232266.38177","0.02","0.08","increase"
"170","2023-05-19 20:00:45","21570.93471646764","417849727163.3289","7140889093.635262","-0.17","-0.25","decrease"
"171","2023-05-19 21:00:29","21566.054152565946","417958578323.6808","7333264018.358817","-0.02","-0.26","decrease"
"172","2023-05-19 22:00:43","21606.279479647696","418655842710.4866","9537062869.806917","0.19","0.15","increase"
"173","2023-05-19 23:01:13","21597.945781922514","418485770882.3555","9070953991.80757","-0.04","0.07","decrease"
"174","2023-05-20 00:00:36","21599.952199745934","418630732769.83954","9287060774.25081","0.01","0.30","increase"
"175","2023-05-20 01:00:38","21577.18980782993","418098926276.874","5318934957.256334","-0.11","-0.12","decrease"
"176","2023-05-20 02:00:35","21583.334394721474","418375272201.674","7059834638.711143","0.03","-0.11","increase"
"177","2023-05-20 03:01:24","21570.708671809873","418034719431.34064","6140558127.181418","-0.06","-0.00","decrease"
"178","2023-05-20 04:00:14","21592.70831215416","418277508868.92346","8767914948.22127","0.10","0.12","increase"
"179","2023-05-20 05:01:11","21592.82863797751","418453983300.6343","8088916449.161893","0.00","-0.06","increase"
"180","2023-05-20 06:00:24","21590.447979367586","418333701777.7442","6458387774.434216","-0.01","-0.03","decrease"
"181","2023-05-20 07:00:42","21577.27043817234","418091219102.90753","8103665220.694052","-0.06","-0.11","decrease"
"182","2023-05-20 08:00:34","21581.760110382307","418254853219.233","1833113429.9212341","0.02","0.02","increase"
"183","2023-05-20 09:00:47","21613.075437972097","418711278924.7369","8124151773.971547","0.15","0.14","increase"
"184","2023-05-20 10:01:27","21604.837341183455","418582550522.4592","7582756920.20529","-0.04","0.16","decrease"
"185","2023-05-20 11:00:41","21605.11647018334","418635811701.8935","4173175992.5449886","0.00","0.06","increase"
"186","2023-05-20 12:01:09","21601.72700050991","418586259770.4904","5681790724.246382","-0.02","0.04","decrease"
"187","2023-05-20 13:00:24","21621.205225038397","418915237513.81635","3968917335.811347","0.09","0.14","increase"
"188","2023-05-20 14:00:42","21607.92976116882","418731613009.4972","6424183618.1404505","-0.06","0.14","decrease"
"189","2023-05-20 15:00:02","21622.31397777317","418897808797.8097","5894530351.894111","0.07","0.19","increase"
"190","2023-05-20 16:00:42","21650.750666606567","419929188672.29175","5820395634.85459","0.13","0.17","increase"
"191","2023-05-20 17:00:18","21634.356814865358","419250376981.35596","1905399112.9903047","-0.08","0.14","decrease"
"192","2023-05-20 18:00:52","21763.122492673003","420296991621.13055","3433487281.8478193","0.60","0.73","increase"
"193","2023-05-20 19:00:31","21731.86685741011","421732133289.2247","4717329495.792717","-0.14","0.60","decrease"
"194","2023-05-20 20:00:30","21750.856262774447","421339625661.2682","5396113669.675054","0.09","0.60","increase"
"195","2023-05-20 21:01:29","21718.287498985872","420827222381.4299","5114716993.879758","-0.15","0.51","decrease"
"196","2023-05-20 22:00:42","21727.322281278255","420828770408.5074","4505331912.883419","0.04","0.49","increase"
"197","2023-05-20 23:01:01","21753.33983788754","421560409092.4845","3290488926.521971","0.12","0.47","increase"
"198","2023-05-21 00:01:20","21774.176291168787","421837615246.82996","5154996707.985678","0.10","0.65","increase"
"199","2023-05-21 01:00:05","21877.874464969744","421994947729.1829","5426678808.531109","0.48","0.53","increase"
"200","2023-05-21 02:00:29","21835.854362449463","423358536940.1402","4343165962.248658","-0.19","0.48","decrease"
"201","2023-05-21 03:00:27","21831.910691684257","423060274679.41534","4782066389.879041","-0.02","0.37","decrease"
"202","2023-05-21 04:00:29","21842.305473400167","423313874348.29517","3871414795.4623795","0.05","0.57","increase"
"203","2023-05-21 05:00:09","21818.884738523546","422957590222.59845","3088821270.852779","-0.11","0.42","decrease"
"204","2023-05-21 06:00:13","21782.38068399849","422281737096.77466","3528472883.5668454","-0.17","0.13","decrease"
"205","2023-05-21 07:00:13","21773.939484944265","421953649810.5286","4501778866.44006","-0.04","-0.00","decrease"
"206","2023-05-21 08:00:41","21752.469185579157","421605035676.53516","2830122554.589416","-0.10","-0.57","decrease"
