"ID","Date","Price (GBP)","Market Cap (GBP)","Total Volume","% 24hr Change","% 7d Change","Class"
"1","2015-08-07 00:00:00","1.82617278004","0","58444.081364302016","0.00","0.00","stay the same"
"2","2015-08-08 00:00:00","0.83183504336","50219192.688442335","230075.91539321074","-54.45","0.00","decrease"
"3","2015-08-10 00:00:00","0.4411341917949487","26661270.93050826","256925.63637204212","-46.97","0.00","decrease"
"4","2015-08-11 00:00:00","0.6851172832444149","41425579.53504025","974997.673037797","55.31","0.00","increase"
"5","2015-08-12 00:00:00","0.8046207856489237","48671978.808579855","1327932.6730728513","17.44","0.00","increase"
"6","2015-08-13 00:00:00","1.169269816437386","70761585.44932252","2805731.035322687","45.32","0.00","increase"
"7","2015-08-14 00:00:00","1.167055149698416","70660417.22573197","2783853.646002993","-0.19","0.00","stay the same"
"8","2015-08-15 00:00:00","1.068710772432361","64735537.0119808","1611514.2599203114","-8.43","-41.48","decrease"
"9","2015-08-16 00:00:00","0.9436081854565183","57181722.81016959","1937983.563417123","-11.71","13.44","decrease"
"10","2015-08-17 00:00:00","0.7724892495628042","56026459.12621392","1206400.43984047","-18.13","75.11","decrease"
"11","2015-08-18 00:00:00","0.8184782764652329","59375995.01724753","1083313.3376998536","5.95","19.47","increase"
"12","2015-08-19 00:00:00","0.7986340437460865","57962898.248513564","979981.6761810525","-2.42","-0.74","decrease"
"13","2015-08-20 00:00:00","0.9459253813656382","68672030.70690273","1891430.3489791215","18.44","-19.10","increase"
"14","2015-08-21 00:00:00","0.8960177891848146","65071643.26681506","1110457.7251451805","-5.28","-23.22","decrease"
"15","2015-08-22 00:00:00","0.8797119169252829","63910652.901461266","582720.350722717","-1.82","-17.68","decrease"
"16","2015-08-23 00:00:00","0.8635991493802466","62762158.85912011","1026427.0647843712","-1.83","-8.48","decrease"
"17","2015-08-24 00:00:00","0.7913689515889539","57532641.485859685","442148.59766576596","-8.36","2.44","decrease"
"18","2015-08-25 00:00:00","0.7396127147477088","53789525.45649786","671018.6597742315","-6.54","-9.64","decrease"
"19","2015-08-26 00:00:00","0.7236486145222618","52646167.59159521","744370.3041451302","-2.16","-9.39","decrease"
"20","2015-08-27 00:00:00","0.7357505682703825","53544041.595717974","442258.86396717076","1.67","-22.22","increase"
"21","2015-08-28 00:00:00","0.7723685818266208","56227057.940902345","464617.3994278008","4.98","-13.80","increase"
"22","2015-08-29 00:00:00","0.7627365676951954","55542396.77222452","394377.08304815926","-1.25","-13.30","decrease"
"23","2015-08-30 00:00:00","0.8579858997847343","62496349.29953338","678413.6557301208","12.49","-0.65","increase"
"24","2015-08-31 00:00:00","0.8813584610426652","64216993.746244825","779592.612264385","2.72","11.37","increase"
"25","2015-09-01 00:00:00","0.8826012303794396","64324952.944413126","398813.3484203574","0.14","19.33","stay the same"
"26","2015-09-02 00:00:00","0.8354507574542742","60903750.33936365","411414.9541584984","-5.34","15.45","decrease"
"27","2015-09-03 00:00:00","0.8278873177728161","60365768.04582471","382827.26686776936","-0.91","12.52","decrease"
"28","2015-09-04 00:00:00","0.836829830484395","61036941.0406708","219835.0190979169","1.08","8.35","increase"
"29","2015-09-05 00:00:00","0.8799761223776599","64204980.63650146","231246.98959623542","5.16","15.37","increase"
"30","2015-09-06 00:00:00","0.8550370876327573","62406673.143575385","208986.24190497235","-2.83","-0.34","decrease"
"31","2015-09-07 00:00:00","0.8228944391162604","60080576.30476024","319014.8029864357","-3.76","-6.63","decrease"
"32","2015-09-08 00:00:00","0.8028367133277344","58635829.655628875","272248.3747706954","-2.44","-9.04","decrease"
"33","2015-09-09 00:00:00","0.785511206862566","57390517.068620406","239439.44406546885","-2.16","-5.98","decrease"
"34","2015-09-10 00:00:00","0.7557583860747765","55235629.4776801","414079.98598948395","-3.79","-8.71","decrease"
"35","2015-09-11 00:00:00","0.632972734135883","46277709.48145877","1232687.9770979495","-16.25","-24.36","decrease"
"36","2015-09-12 00:00:00","0.6730637455336872","49226240.07279478","519041.27916933864","6.33","-23.51","increase"
"37","2015-09-13 00:00:00","0.6076499797507847","44456985.04252367","426545.28878929734","-9.72","-28.93","decrease"
"38","2015-09-14 00:00:00","0.5667052356173908","41474710.86174514","479296.66236005625","-6.74","-31.13","decrease"
"39","2015-09-15 00:00:00","0.6138192692436633","44938080.06198648","473040.1020723034","8.31","-23.54","increase"
"40","2015-09-16 00:00:00","0.5829220629649511","42690708.24129258","406184.2529295317","-5.03","-25.79","decrease"
"41","2015-09-17 00:00:00","0.5669091044554918","41531429.350583225","584644.2807674996","-2.75","-24.99","decrease"
"42","2015-09-18 00:00:00","0.5447022596173869","39917840.55930346","308127.8175350463","-3.92","-13.95","decrease"
"43","2015-09-19 00:00:00","0.5678490313418434","41628546.85146484","249646.252719398","4.25","-15.63","increase"
"44","2015-09-20 00:00:00","0.6030204623062598","44223123.699203424","331568.4111959134","6.19","-0.76","increase"
"45","2015-09-21 00:00:00","0.5809244693909025","42617258.09143294","276734.91824594664","-3.66","2.51","decrease"
"46","2015-09-22 00:00:00","0.5843771970460818","42883568.07039553","316398.8369533422","0.59","-4.80","stay the same"
"47","2015-09-23 00:00:00","0.5864046877202159","43049234.759666525","133846.2527294201","0.35","0.60","stay the same"
"48","2015-09-24 00:00:00","0.5356503837585905","39336554.55382769","537111.3822431548","-8.66","-5.51","decrease"
"49","2015-09-25 00:00:00","0.4877423956672752","35830946.451545686","593542.7335982313","-8.94","-10.46","decrease"
"50","2015-09-26 00:00:00","0.5123947985706149","37654433.42177856","249756.86094744582","5.05","-9.77","increase"
"51","2015-09-27 00:00:00","0.4746212107614445","34890152.73148073","268695.98682359036","-7.37","-21.29","decrease"
"52","2015-09-28 00:00:00","0.3844747967467345","28272169.630868685","800563.2579722913","-18.99","-33.82","decrease"
"53","2015-09-29 00:00:00","0.4340313689751284","31926611.81864003","617979.4258601926","12.89","-25.73","increase"
"54","2015-09-30 00:00:00","0.485818129407214","35747525.4671265","423305.6171300859","11.93","-17.15","increase"
"55","2015-10-01 00:00:00","0.4531113739000903","33352674.117845844","389042.37399950164","-6.73","-15.41","decrease"
"56","2015-10-02 00:00:00","0.4454828311998116","32802595.923414845","145570.76005386995","-1.68","-8.66","decrease"
"57","2015-10-03 00:00:00","0.4529219118703688","33361713.962001394","107928.24815766497","1.67","-11.61","increase"
"58","2015-10-04 00:00:00","0.4397371636318622","32401428.26361377","68752.57583395096","-2.91","-7.35","decrease"
"59","2015-10-05 00:00:00","0.4147638758363871","30571513.22965924","146327.91431498158","-5.68","7.88","decrease"
"60","2015-10-06 00:00:00","0.4237072082402718","31240949.360855017","176215.8737467732","2.16","-2.38","increase"
"61","2015-10-07 00:00:00","0.3981979572716124","29364305.990111154","141465.37032756806","-6.02","-18.04","decrease"
"62","2015-10-08 00:00:00","0.4061968784560105","29954170.315028407","202534.56489751526","2.01","-10.35","increase"
"63","2015-10-09 00:00:00","0.4248093534064712","31326709.776113104","247556.09996444522","4.58","-4.64","increase"
"64","2015-10-10 00:00:00","0.4111181142906612","30348434.969532035","95015.48473078161","-3.22","-9.23","decrease"
"65","2015-10-11 00:00:00","0.4158345430676965","30696598.251695484","56838.63376652231","1.15","-5.44","stay the same"
"66","2015-10-12 00:00:00","0.4098328369573964","30253556.747895654","70976.25057025392","-1.44","-1.19","decrease"
"67","2015-10-13 00:00:00","0.3949510350819465","29154993.14598333","194725.16848938016","-3.63","-6.79","decrease"
"68","2015-10-14 00:00:00","0.3344842103690404","24728324.017004255","610475.4127590806","-15.31","-16.00","decrease"
"69","2015-10-15 00:00:00","0.3628883739167564","26838543.71918221","243367.05792994867","8.49","-10.66","increase"
"70","2015-10-16 00:00:00","0.3452547123237297","25542941.40382814","159997.803963505","-4.86","-18.73","decrease"
"71","2015-10-17 00:00:00","0.3550178478997705","26273969.177728347","205225.7927536381","2.83","-13.65","increase"
"72","2015-10-18 00:00:00","0.3358614081632797","24864904.878675964","86589.3895190201","-5.40","-19.23","decrease"
"73","2015-10-19 00:00:00","0.3148643478824946","23318033.382551316","155309.70441277715","-6.25","-23.17","decrease"
"74","2015-10-20 00:00:00","0.2803142422085569","20766325.187138185","228121.72301644218","-10.97","-29.03","decrease"
"75","2015-10-21 00:00:00","0.2852227453133581","21137221.60845092","388522.4567235678","1.75","-14.73","stay the same"
"76","2015-10-22 00:00:00","0.3673605434421206","27233008.33100945","636219.5693105602","28.80","1.23","increase"
"77","2015-10-23 00:00:00","0.3531309534238757","26187534.682341255","566066.2072983299","-3.87","2.28","decrease"
"78","2015-10-24 00:00:00","0.3713092945379145","27545204.992907703","169243.91193011845","5.15","4.59","increase"
"79","2015-10-25 00:00:00","0.4126049732388271","30619250.022064064","311192.8661605451","11.12","22.85","increase"
"80","2015-10-26 00:00:00","0.4847169568423512","35982493.1157438","764923.256473767","17.48","53.94","increase"
"81","2015-10-27 00:00:00","0.5581327778817986","41446711.25106343","1232965.771248508","15.15","99.11","increase"
"82","2015-10-28 00:00:00","0.6617925012587117","49161044.182403","1603137.4788024048","18.57","132.03","increase"
"83","2015-10-29 00:00:00","0.7595235152774255","56440727.88434376","1459880.7739586139","14.77","106.75","increase"
"84","2015-10-30 00:00:00","0.6752787535486877","50198135.927460976","1545555.8969287397","-11.09","91.23","decrease"
"85","2015-10-31 00:00:00","0.5874301360987797","43682670.69537169","422409.35238568817","-13.01","58.21","decrease"
"86","2015-11-01 00:00:00","0.685465113393626","50990324.01791598","391121.32160975353","16.69","66.13","increase"
"87","2015-11-02 00:00:00","0.6196453294792179","46108710.55050299","629779.6567030216","-9.60","27.84","decrease"
"88","2015-11-03 00:00:00","0.6486379660749854","48283899.93604906","1215469.1499140146","4.68","16.22","increase"
"89","2015-11-04 00:00:00","0.5842683015015411","43507100.87008613","2084935.956271262","-9.92","-11.71","decrease"
"90","2015-11-05 00:00:00","0.594162041540241","44258987.87544258","788338.7789024358","1.69","-21.77","increase"
"91","2015-11-06 00:00:00","0.6039645973434968","45004624.299190775","606745.1833296295","1.65","-10.56","increase"
"92","2015-11-07 00:00:00","0.612907197072532","45685658.11206867","601047.3147304889","1.48","4.34","increase"
"93","2015-11-08 00:00:00","0.6847287059704406","51056864.4335565","691099.0715754644","11.72","-0.11","increase"
"94","2015-11-09 00:00:00","0.6588102514938581","49141055.23912903","1304994.3929775164","-3.79","6.32","decrease"
"95","2015-11-10 00:00:00","0.6182377424931419","46130362.47890531","572074.8499704577","-6.16","-4.69","decrease"
"96","2015-11-11 00:00:00","0.518421205965113","38695446.12916964","817186.3669825754","-16.15","-11.27","decrease"
"97","2015-11-12 00:00:00","0.591414572825847","44158613.72192625","542884.7320787351","14.08","-0.46","increase"
"98","2015-11-13 00:00:00","0.5934236433830307","44323734.698044024","357785.2849879994","0.34","-1.75","stay the same"
"99","2015-11-14 00:00:00","0.5803927659133647","43365064.094521224","237338.95680661948","-2.20","-5.30","decrease"
"100","2015-11-15 00:00:00","0.5987702310056222","44754206.711977966","284009.112633582","3.17","-12.55","increase"
"101","2015-11-16 00:00:00","0.614222120006036","45918517.83843905","405394.5002363001","2.58","-6.77","increase"
"102","2015-11-17 00:00:00","0.654131520436429","48925283.013717584","741528.5299647505","6.50","5.81","increase"
"103","2015-11-18 00:00:00","0.6528840002328817","48848500.15730411","451177.7619309697","-0.19","25.94","stay the same"
"104","2015-11-19 00:00:00","0.6222365870265254","46570924.01404808","284076.4009644349","-4.69","5.21","decrease"
"105","2015-11-20 00:00:00","0.6100847612438185","45676137.048030436","399279.2122076604","-1.95","2.81","decrease"
"106","2015-11-21 00:00:00","0.6408106046082039","47992629.1175501","299435.3411801779","5.04","10.41","increase"
"107","2015-11-22 00:00:00","0.6352245161185466","47589788.41204024","244916.0416584376","-0.87","6.09","decrease"
"108","2015-11-23 00:00:00","0.6249854402814885","46839308.82713766","289030.6328679827","-1.61","1.75","decrease"
"109","2015-11-24 00:00:00","0.5961890857544906","44695762.16978241","235273.56946603605","-4.61","-8.86","decrease"
"110","2015-11-25 00:00:00","0.5736257905839773","43018506.87969956","468619.5365612239","-3.78","-12.14","decrease"
"111","2015-11-26 00:00:00","0.5932780214516544","44506756.05890836","636253.07434636","3.43","-4.65","increase"
"112","2015-11-27 00:00:00","0.5807398822832359","43581093.08895315","265851.4994543928","-2.11","-4.81","decrease"
