"ID","Date","Price (GBP)","Market Cap (GBP)","Total Volume","% 24hr Change","% 7d Change","Class"
"1","2023-05-12 19:00:43","1422.5376322495363","171010330907.63748","7404077648.174561","0.00","0.00","stay the same"
"2","2023-05-12 20:00:01","1422.698065436072","172708756114.03024","7128531090.797696","0.01","0.00","increase"
"3","2023-05-12 21:00:37","1436.9360588591817","172784063784.54968","8134851643.980138","1.00","0.00","increase"
"4","2023-05-12 22:00:41","1449.5533157406016","174566308843.74304","8240521184.909452","0.88","0.00","increase"
"5","2023-05-12 23:00:52","1449.4759893595906","174224006614.35587","8256760065.821115","-0.01","0.00","decrease"
"6","2023-05-13 00:00:43","1452.144718756226","174696436727.91025","8474535408.17572","0.18","0.00","increase"
"7","2023-05-13 01:00:40","1451.9694767972337","174832118584.09027","8455021142.304749","-0.01","0.00","decrease"
"8","2023-05-13 02:00:32","1455.142940013992","175127532440.5916","8431555287.697189","0.22","2.29","increase"
"9","2023-05-13 03:00:16","1450.2367396796326","174765710704.39343","8390285049.18754","-0.34","1.94","decrease"
"10","2023-05-13 04:00:10","1451.8339141558695","174615653513.46097","7960857847.594811","0.11","1.04","increase"
"11","2023-05-13 05:01:25","1448.920290734701","174345872277.576","7655603732.727409","-0.20","-0.04","decrease"
"12","2023-05-13 06:00:40","1444.772105620343","173969702661.47037","7553084471.588545","-0.29","-0.32","decrease"
"13","2023-05-13 07:00:13","1445.4494737072562","173774949379.56262","7123980443.667778","0.05","-0.46","increase"
"14","2023-05-13 08:00:28","1450.609268535691","174395888178.60236","6685857014.864565","0.36","-0.09","increase"
"15","2023-05-13 09:00:27","1450.3569749346027","174406280496.14423","5886107492.142361","-0.02","-0.33","decrease"
"16","2023-05-13 10:00:32","1452.5602210628106","174736416291.3451","6448969967.306235","0.15","0.16","increase"
"17","2023-05-13 11:00:46","1452.1268534495464","174625950354.83093","6361858008.495304","-0.03","0.02","decrease"
"18","2023-05-13 12:00:50","1449.6923074061767","174385847162.2783","6239301664.249828","-0.17","0.05","decrease"
"19","2023-05-13 13:00:49","1448.7273394767737","174101251713.73526","5605279625.670106","-0.07","0.27","decrease"
"20","2023-05-13 14:00:19","1446.6969307222932","173966158023.84796","6136598682.976458","-0.14","0.09","decrease"
"21","2023-05-13 15:00:20","1442.9293698690494","173327771552.37802","6047101759.830654","-0.26","-0.53","decrease"
"22","2023-05-13 16:00:40","1443.2153693531118","173647187963.98132","5857726576.224589","0.02","-0.49","increase"
"23","2023-05-13 17:00:30","1442.2482422496564","173533887742.34836","5663264110.955909","-0.07","-0.71","decrease"
"24","2023-05-13 18:00:45","1441.4070391323908","173238607109.81616","5422786112.020263","-0.06","-0.74","decrease"
"25","2023-05-13 19:00:44","1447.571457703543","174065012851.66547","5641201355.13769","0.43","-0.15","increase"
"26","2023-05-13 20:01:02","1441.3873243139728","173332237149.56155","5143420800.65691","-0.43","-0.51","decrease"
"27","2023-05-13 21:00:54","1443.8071162161068","173733671296.45523","4502562924.608653","0.17","-0.20","increase"
"28","2023-05-13 22:01:41","1445.9390730998646","173801188497.44052","4394956759.152802","0.15","0.21","increase"
"29","2023-05-13 23:01:36","1447.1120305074771","174028150631.63297","4219774402.623148","0.08","0.27","increase"
"30","2023-05-14 00:00:06","1442.4322947324797","173379547987.69156","4133560459.4187946","-0.32","0.01","decrease"
"31","2023-05-14 01:00:48","1442.9727787027866","173645486745.76675","4064559447.228949","0.04","0.11","increase"
"32","2023-05-14 02:01:44","1441.0002018426871","173281123020.70203","3944819743.6432734","-0.14","-0.45","decrease"
"33","2023-05-14 03:01:49","1444.8687539431896","173746318689.36462","3841029672.9102683","0.27","0.24","increase"
"34","2023-05-14 04:00:46","1447.4314132994891","174291747018.5457","3923803152.41168","0.18","0.25","increase"
"35","2023-05-14 05:01:32","1447.0387340501902","174084795703.15735","3959375455.221684","-0.03","0.08","decrease"
"36","2023-05-14 06:00:43","1447.186428656225","174015137102.3417","3860096567.232042","0.01","0.01","increase"
"37","2023-05-14 07:01:11","1451.1823978646012","174480424493.28455","3826881744.3400745","0.28","0.61","increase"
"38","2023-05-14 08:00:28","1449.858203775525","174363150926.81494","3766687976.788609","-0.09","0.48","decrease"
"39","2023-05-14 09:00:44","1447.4257956390843","174054126634.67242","3857331020.8741055","-0.17","0.45","decrease"
